pH,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn
6.07,179027.5746,88649.43233,18534.77589,4431.082753,4522.769226,667.6712037,15274.7191,82.1042908,4015.597415,387.2287397,1099.857968,169.1189102,358.2605474,37.9,0.15,8,10,1.4,1.5,0.25,20,51,5,0.5,10,10,1,29,42,800,1.5,2,10,5,5,11,5,57
6.403,226705.9365,83621.55408,34901.33272,2429.948607,3377.001022,519.2998251,18097.22154,75.26226656,5454.020369,1006.794723,999.8708801,84.55945508,447.8256843,24.5,0.15,5,5,1.1,1.5,0.25,28,44,5,0.5,20,5,1,31,50,800,1.5,3,10,5,5,8,5,53
7.073,201464.4508,93941.93576,28116.90532,4002.268293,4703.679995,741.856893,16685.97032,88.94631503,4614.940312,929.3489753,1199.845056,84.55945508,358.2605474,30.4,0.15,3,5,1.4,1.5,0.25,23,48,5,0.5,10,10,0.5,32,51,600,1.5,3,10,5,5,15,5,44
6.62,189311.1428,84680.05477,38468.4028,3716.391987,4341.858457,593.4855144,15191.70432,82.1042908,4375.203153,697.0117315,1499.80632,84.55945508,358.2605474,32.4,0.15,8,10,1.4,1.5,0.25,24,44,5,0.5,10,10,1,35,45,900,1.5,4,10,5,5,18,5,61
6.633,173418.3555,85738.55545,18115.12059,4145.206447,4281.554867,667.6712037,15772.80776,75.26226656,3955.663125,387.2287397,1399.819232,169.1189102,358.2605474,39.5,0.2,5,10,1.6,1.5,0.25,31,65,5,0.5,10,10,1,35,69,800,1.5,2,10,5,5,10,5,54
5.046,118728.4698,53983.53491,39237.77086,5503.118904,3859.42974,1557.899475,6724.196994,82.1042908,3236.451648,1084.240471,3899.496432,84.55945508,268.6954106,54.8,0.2,26,10,1.5,1.5,0.9,20,87,10,0.5,20,10,4,52,148,1600,3,3,10,5,5,55,5,221
6.175,164069.6571,76476.67446,49799.09599,8790.69643,6512.787686,2151.38499,11290.00977,95.78833926,4495.071733,1006.794723,4199.457696,84.55945508,358.2605474,37.7,0.3,24,10,1.7,1.5,0.7,22,56,10,0.5,30,20,3,63,92,1500,1.5,6,10,5,5,57,5,154
6.227,148176.8698,72507.29689,50778.2917,8218.943817,5970.055379,2151.38499,10210.81766,88.94631503,4375.203153,1084.240471,4499.418961,84.55945508,358.2605474,41.5,0.2,24,10,1.8,1.5,0.8,23,59,10,0.5,30,20,4,62,103,1700,1.5,5,10,5,5,59,5,180
5.989,182299.619,86797.05614,51407.77465,7861.598434,7357.037941,3115.798951,13282.36443,95.78833926,5274.2175,1161.686219,4699.393137,169.1189102,358.2605474,31.9,0.15,60,10,1.5,1.5,0.8,22,54,10,1,30,40,3,61,36,1400,1.5,7,10,5,5,53,5,98
5.717,198659.8413,84415.42959,54555.18943,6146.340594,5427.323071,2967.427572,11622.06888,102.6303635,6353.034716,619.5659835,3599.535168,169.1189102,447.8256843,28.6,0.15,20,10,1.3,1.5,0.25,14,41,10,0.5,20,20,2,43,65,3500,1.5,5,10,5,5,48,5,84
8.048,330943.9238,55835.91111,31054.49244,18296.08363,1266.375383,1261.156718,14776.63043,61.5782181,3416.254517,1394.023463,899.8837921,42.27972754,806.0862317,6.58,0.2,4,5,0.25,1.5,0.7,8,30,5,0.5,10,5,0.5,24,28,300,1.5,4,10,5,5,13,5,257
8.075,224368.7619,69067.16967,28396.67552,64393.63808,4221.251278,4970.441183,10459.86199,102.6303635,4674.874602,774.4574794,1599.793408,84.55945508,626.955958,21,0.3,9,10,1.4,1.5,0.8,14,86,10,0.5,10,20,1,35,96,500,1.5,4,10,5,5,40,5,337
7.024,272514.5587,60863.78936,28886.27338,8218.943817,4040.340509,5489.741008,11622.06888,95.78833926,4495.071733,929.3489753,2299.703024,84.55945508,537.3908212,22.8,0.15,8,10,1,1.5,0.25,13,35,5,0.5,10,10,1,28,66,800,2,3,10,5,5,37,5,136
5.474,255686.9016,58217.53765,35460.87313,5288.711674,4341.858457,8160.425823,9048.610769,102.6303635,5334.15179,1006.794723,1899.754672,84.55945508,358.2605474,24.7,0.2,9,5,0.7,1.5,0.25,13,21,10,0.5,10,20,1,23,66,700,1.5,1,10,5,5,51,5,141
7.222,150514.0444,44457.02875,21682.19067,101486.0889,3377.001022,3635.098776,6475.15266,75.26226656,3655.991676,464.6744876,4199.457696,169.1189102,268.6954106,39,0.3,7,10,1.9,1.5,1.5,13,74,5,0.5,10,10,1,77,133,1200,1.5,1,10,5,5,33,5,342
9.008,182299.619,47632.53081,153873.6112,164378.8763,6030.358968,2967.427572,10791.9211,342.1012117,3596.057386,5421.202356,999.8708801,287.5021473,1791.302737,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,100,0,6000
10.175,159862.7428,52131.15872,7903.508212,262291.5114,8924.931273,2151.38499,3486.620663,27.36809693,4495.071733,1858.697951,399.948352,338.2378203,1433.04219,13.9,0.15,3,50,12.8,1.5,0.25,1,14,5,0.5,30,50,0.5,7,11,6000,2,11,10,5,10,10,5,36
10.589,170613.746,44139.47855,20283.33966,204401.5593,8140.984607,2299.756368,5561.990106,20.5260727,2637.10875,1936.143699,599.9225281,253.6783652,716.5210949,19,1.3,11,60,8.4,2,2.7,3,53,10,0.5,30,40,0.5,8,212,4300,16,7,10,5,5,12,5,503
9.516,181832.1841,35936.09824,7833.565661,200828.1054,8080.681017,2596.499126,4648.827551,41.0521454,2457.305881,1781.252203,499.9354401,253.6783652,985.2165054,20.7,0.3,7,40,8.6,1.5,0.6,36,30,5,0.5,20,40,0.5,6,71,2700,2,5,10,5,5,11,5,120
10.133,142567.6508,43927.77841,4826.035988,250141.7683,9769.181529,1186.971029,2407.428553,13.68404847,3356.320227,929.3489753,599.9225281,253.6783652,716.5210949,22.2,0.3,3,40,11.4,1.5,0.25,4,17,5,0.5,30,40,0.5,3,28,8100,1.5,8,10,5,5,5,5,46
8.79,200997.0159,31755.02054,181850.6314,121497.4303,6030.358968,3709.284465,13282.36443,68.42024233,1798.028693,2323.372438,999.8708801,211.3986377,806.0862317,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,100,0,2000
10.071,144437.3905,50067.08238,7833.565661,255859.2945,6693.698455,1483.713786,3652.650219,20.5260727,2996.714489,2091.035194,199.974176,253.6783652,806.0862317,19.65,0.7,5,40,9.7,1.5,0.9,2,22,5,0.5,30,60,0.5,6,100,4100,3,10,10,5,5,7,5,171
