Community,pH_level,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn
Fallin_Bing_1,6.07,38.3,16.75,2.65,0.62,0.75,0.09,1.84,0.012,0.67,0.05,0.11,0.02,0.04,0.00002,0.0008,0.001,0.00014,0.0002,0.00005,0.002,0.0051,0.001,0.0001,0.001,0.001,0.0001,0.0029,0.0042,0.08,0.0002,0.0002,0.002,0.001,0.001,0.0011,0.001,0.0057
Fallin_Bing_2,6.403,48.5,15.8,4.99,0.34,0.56,0.07,2.18,0.011,0.91,0.13,0.1,0.01,0.05,0.00002,0.0005,0.001,0.00011,0.0002,0.00005,0.0028,0.0044,0.001,0.0001,0.002,0.001,0.0001,0.0031,0.005,0.08,0.0002,0.0003,0.002,0.001,0.001,0.0008,0.001,0.0053
Fallin_Bing_3,7.073,43.1,17.75,4.02,0.56,0.78,0.1,2.01,0.013,0.77,0.12,0.12,0.01,0.04,2.00E-05,0.0003,0.001,0.00014,0.0002,5.00E-05,0.0023,0.0048,0.001,0.0001,0.001,0.001,0.0001,0.0032,0.0051,6.00E-02,0.0002,0.0003,0.002,0.001,0.001,0.0015,0.001,0.0044
Fallin_Bing_4,6.62,40.5,16,5.5,0.52,0.72,0.08,1.83,0.012,0.73,0.09,0.15,0.01,0.04,2.00E-05,0.0008,0.001,0.00014,0.0002,5.00E-05,0.0024,0.0044,0.001,0.0001,0.001,0.001,0.0001,0.0035,0.0045,9.00E-02,0.0002,0.0004,0.002,0.001,0.001,0.0018,0.001,0.0061
Fallin_Bing_5,6.633,37.1,16.2,2.59,0.58,0.71,0.09,1.9,0.011,0.66,0.05,0.14,0.02,0.04,2.00E-05,0.0005,0.001,0.00016,0.0002,5.00E-05,0.0031,0.0065,0.001,0.0001,0.001,0.001,0.0001,0.0035,0.0069,8.00E-02,0.0002,0.0002,0.002,0.001,0.001,0.001,0.001,0.0054
Addiewell_Bing_1,5.046,25.4,10.2,5.61,0.77,0.64,0.21,0.81,0.012,0.54,0.14,0.39,0.01,0.03,2.00E-05,0.0026,0.001,0.00015,0.0002,9.00E-05,0.002,0.0087,0.001,0.0001,0.002,0.001,0.0004,0.0052,0.0148,1.60E-01,0.0003,0.0003,0.002,0.001,0.001,0.0055,0.001,0.0221
Addiewell_Bing_2,6.175,35.1,14.45,7.12,1.23,1.08,0.29,1.36,0.014,0.75,0.13,0.42,0.01,0.04,3.00E-05,0.0024,0.001,0.00017,0.0002,7.00E-05,0.0022,0.0056,0.001,0.0001,0.003,0.002,0.0003,0.0063,0.0092,1.50E-01,0.0002,0.0006,0.002,0.001,0.001,0.0057,0.001,0.0154
Addiewell_Bing_3,6.227,31.7,13.7,7.26,1.15,0.99,0.29,1.23,0.013,0.73,0.14,0.45,0.01,0.04,2.00E-05,0.0024,0.001,0.00018,0.0002,8.00E-05,0.0023,0.0059,0.001,0.0001,0.003,0.002,0.0004,0.0062,0.0103,1.70E-01,0.0002,0.0005,0.002,0.001,0.001,0.0059,0.001,0.018
Addiewell_Bing_4,5.989,39,16.4,7.35,1.1,1.22,0.42,1.6,0.014,0.88,0.15,0.47,0.02,0.04,2.00E-05,0.006,0.001,0.00015,0.0002,8.00E-05,0.0022,0.0054,0.001,0.0001,0.003,0.004,0.0003,0.0061,0.0036,1.40E-01,0.0002,0.0007,0.002,0.001,0.001,0.0053,0.001,0.0098
Addiewell_Bing_5,5.717,42.5,15.95,7.8,0.86,0.9,0.4,1.4,0.015,1.06,0.08,0.36,0.02,0.05,2.00E-05,0.002,0.001,0.00013,0.0002,5.00E-05,0.0014,0.0041,0.001,0.0001,0.002,0.002,0.0002,0.0043,0.0065,3.50E-01,0.0002,0.0005,0.002,0.001,0.001,0.0048,0.001,0.0084
Penicuik_1,8.048,70.8,10.55,4.44,2.56,0.21,0.17,1.78,0.009,0.57,0.18,0.09,0.01,0.09,2.00E-05,0.0004,0.001,5.00E-05,0.0002,7.00E-05,0.0008,0.003,0.001,0.0001,0.001,0.001,0.0001,0.0024,0.0028,3.00E-02,0.0002,0.0004,0.002,0.001,0.001,0.0013,0.001,0.0257
Penicuik_2,8.075,48,13.05,4.06,9.01,0.7,0.67,1.26,0.015,0.78,0.1,0.16,0.01,0.07,3.00E-05,0.0009,0.001,0.00014,0.0002,8.00E-05,0.0014,0.0086,0.001,0.0001,0.001,0.002,0.0001,0.0035,0.0096,5.00E-02,0.0002,0.0004,0.002,0.001,0.001,0.004,0.001,0.0337
Penicuik_3,7.024,58.3,11.5,4.13,1.15,0.67,0.74,1.4,0.014,0.75,0.12,0.23,0.01,0.06,2.00E-05,0.0008,0.001,0.0001,0.0002,5.00E-05,0.0013,0.0035,0.001,0.0001,0.001,0.001,0.0001,0.0028,0.0066,8.00E-02,0.0002,0.0003,0.002,0.001,0.001,0.0037,0.001,0.0136
Penicuik_4,5.474,54.7,11,5.07,0.74,0.72,1.1,1.09,0.015,0.89,0.13,0.19,0.01,0.04,2.00E-05,0.0009,0.001,7.00E-05,0.0002,5.00E-05,0.0013,0.0021,0.001,0.0001,0.001,0.002,0.0001,0.0023,0.0066,7.00E-02,0.0002,0.0001,0.002,0.001,0.001,0.0051,0.001,0.0141
Penicuik_5,7.222,32.2,8.4,3.1,14.2,0.56,0.49,0.78,0.011,0.61,0.06,0.42,0.02,0.03,3.00E-05,0.0007,0.001,0.00019,0.0002,0.00015,0.0013,0.0074,0.001,0.0001,0.001,0.001,0.0001,0.0077,0.0133,1.20E-01,0.0002,0.0001,0.002,0.001,0.001,0.0033,0.001,0.0342
Carnforth_1,9.008,39,9,22,23,1,0.4,1.3,0.05,0.6,0.7,0.1,0.034,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
Carnforth_2,10.175,34.2,9.85,1.13,36.7,1.48,0.29,0.42,0.004,0.75,0.24,0.04,0.04,0.16,2.00E-05,0.0003,0.005,0.00128,0.0002,5.00E-05,0.0001,0.0014,0.001,0.0001,0.003,0.005,0.0001,0.0007,0.0011,6.00E-01,0.0002,0.0011,0.002,0.001,0.001,0.001,0.001,0.0036
Carnforth_3,10.589,36.5,8.34,2.9,28.6,1.35,0.31,0.67,0.003,0.44,0.25,0.06,0.03,0.08,0.00013,0.0011,0.006,0.00084,0.0002,0.00027,0.0003,0.0053,0.001,0.0001,0.003,0.004,0.0001,0.0008,0.0212,4.30E-01,0.0016,0.0007,0.002,0.001,0.001,0.0012,0.001,0.0503
Carnforth_4,9.516,38.9,6.79,1.12,28.1,1.34,0.35,0.56,0.006,0.41,0.23,0.05,0.03,0.11,3.00E-05,0.0007,0.004,0.00086,0.0002,6.00E-05,0.0036,0.003,0.001,0.0001,0.002,0.004,0.0001,0.0006,0.0071,2.70E-01,0.0002,0.0005,0.002,0.001,0.001,0.0011,0.001,0.012
Carnforth_5,10.133,30.5,8.3,0.69,35,1.62,0.16,0.29,0.002,0.56,0.12,0.06,0.03,0.08,3.00E-05,0.0003,0.004,0.00114,0.0002,5.00E-05,0.0004,0.0017,0.001,0.0001,0.003,0.004,0.0001,0.0003,0.0028,8.10E-01,0.0002,0.0008,0.002,0.001,0.001,0.0005,0.001,0.0046
Carnforth_6,8.79,43,6,26,17,1,0.5,1.6,0.01,0.3,0.3,0.1,0.025,0.09,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Carnforth_7,10.071,30.9,9.46,1.12,35.8,1.11,0.2,0.44,0.003,0.5,0.27,0.02,0.03,0.09,7.00E-05,0.0005,0.004,0.00097,0.0002,9.00E-05,0.0002,0.0022,0.001,0.0001,0.003,0.006,0.0001,0.0006,0.01,4.10E-01,0.0003,0.001,0.002,0.001,0.001,0.0007,0.001,0.0171
Carnforth_8,7.975,86.8,5.72,1.37,0.51,0.5,1.14,1.63,0.006,0.32,0.02,0.08,0.01,0.03,2.00E-05,0.0004,0.001,5.00E-05,0.0002,5.00E-05,0.0003,0.0004,0.001,0.0001,0.001,0.001,0.0001,0.0008,0.0048,4.00E-02,0.0002,0.0001,0.002,0.001,0.001,0.0008,0.001,0.0052
Barrow_1,9.921,30.7,8.99,1.2,35.7,3.07,0.58,0.43,0.003,0.49,0.58,0.06,0.08,0.34,2.00E-05,0.0005,0.003,0.00103,0.0002,5.00E-05,0.0002,0.0028,0.001,0.0001,0.004,0.007,0.0001,0.0006,0.0011,7.00E-01,0.0002,0.0015,0.002,0.001,0.001,0.0018,0.001,0.0024
